,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,MKT_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_SEQ_ID,DEST_AIRPORT_SEQ_ID,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
0,6,12,7,19930,1403,1042302,1477104,1505,1623.0,78.0,1653,1808.0,75.0,228.0,225.0,1504.0,0.0,0.0,0.0,0.0,75.0
1,8,10,3,19977,654,1042302,1226402,711,708.0,-3.0,1126,1118.0,-8.0,195.0,190.0,1297.0,0.0,0.0,0.0,0.0,0.0
2,8,10,3,19977,728,1042302,1161802,1406,1448.0,42.0,1900,2037.0,97.0,234.0,289.0,1504.0,0.0,0.0,97.0,0.0,0.0
3,9,2,5,19805,4076,1042302,1319801,843,841.0,-2.0,1035,1028.0,-7.0,112.0,107.0,650.0,0.0,0.0,0.0,0.0,0.0
4,5,31,2,19393,2656,1042302,1039707,630,629.0,-1.0,940,936.0,-4.0,130.0,127.0,813.0,0.0,0.0,0.0,0.0,0.0
5,4,25,1,19393,1704,1042302,1219102,1825,2044.0,139.0,1925,2136.0,131.0,60.0,52.0,148.0,19.0,0.0,0.0,0.0,112.0
6,11,29,2,19393,3738,1042302,1501606,505,457.0,-8.0,705,637.0,-28.0,120.0,100.0,721.0,0.0,0.0,0.0,0.0,0.0
7,12,14,3,19393,425,1042302,1106606,935,947.0,12.0,1310,1257.0,-13.0,155.0,130.0,1073.0,0.0,0.0,0.0,0.0,0.0
8,6,19,7,19393,3087,1042302,1219102,1620,1617.0,-3.0,1715,1708.0,-7.0,55.0,51.0,148.0,0.0,0.0,0.0,0.0,0.0
9,9,18,7,19805,4223,1042302,1245102,1315,1440.0,85.0,1635,1811.0,96.0,140.0,151.0,954.0,14.0,0.0,11.0,0.0,71.0
10,12,19,1,19805,3881,1042302,1457002,1514,1925.0,251.0,1701,2109.0,248.0,227.0,224.0,1405.0,118.0,0.0,0.0,0.0,130.0
11,4,29,5,19393,194,1042302,1069302,615,614.0,-1.0,820,814.0,-6.0,125.0,120.0,756.0,0.0,0.0,0.0,0.0,0.0
12,10,1,6,19805,4232,1042302,1154005,1017,1017.0,0.0,1052,1052.0,0.0,95.0,95.0,528.0,0.0,0.0,0.0,0.0,0.0
13,1,31,1,19393,1723,1042302,1501606,1040,1038.0,-2.0,1240,1230.0,-10.0,120.0,112.0,721.0,0.0,0.0,0.0,0.0,0.0
14,7,25,1,19805,1083,1042302,1410702,1427,1427.0,0.0,1445,1436.0,-9.0,138.0,129.0,872.0,0.0,0.0,0.0,0.0,0.0
15,7,29,5,19393,3087,1042302,1219102,1620,1622.0,2.0,1715,1711.0,-4.0,55.0,49.0,148.0,0.0,0.0,0.0,0.0,0.0
16,4,7,4,19805,4247,1042302,1119302,1840,1846.0,6.0,2215,2209.0,-6.0,155.0,143.0,958.0,0.0,0.0,0.0,0.0,0.0
17,3,17,4,19805,1617,1042302,1105703,1035,1030.0,-5.0,1414,1405.0,-9.0,159.0,155.0,1032.0,0.0,0.0,0.0,0.0,0.0
18,8,4,4,19393,2852,1042302,1039707,1635,1652.0,17.0,1950,2001.0,11.0,135.0,129.0,813.0,0.0,0.0,0.0,0.0,0.0
19,6,22,3,19393,1010,1042302,1315805,1955,2023.0,28.0,2055,2118.0,23.0,60.0,55.0,294.0,0.0,0.0,0.0,0.0,23.0
20,4,15,5,19790,2234,1042302,1039707,800,759.0,-1.0,1109,1051.0,-18.0,129.0,112.0,813.0,0.0,0.0,0.0,0.0,0.0
21,2,11,5,19805,3958,1042302,1069302,1641,1640.0,-1.0,1838,1837.0,-1.0,117.0,117.0,756.0,0.0,0.0,0.0,0.0,0.0
22,11,4,5,19393,2385,1042302,1082106,1250,1311.0,21.0,1705,1702.0,-3.0,195.0,171.0,1342.0,0.0,0.0,0.0,0.0,0.0
23,10,16,7,20416,2308,1042302,1161802,1414,1417.0,3.0,1859,1840.0,-19.0,225.0,203.0,1504.0,0.0,0.0,0.0,0.0,0.0
24,5,7,6,19393,3877,1042302,1219102,605,603.0,-2.0,700,654.0,-6.0,55.0,51.0,148.0,0.0,0.0,0.0,0.0,0.0
25,6,19,7,19393,885,1042302,1410702,2055,2056.0,1.0,2115,2119.0,4.0,140.0,143.0,872.0,0.0,0.0,0.0,0.0,0.0
26,12,18,7,19393,2554,1042302,1106606,845,850.0,5.0,1215,1216.0,1.0,150.0,146.0,1073.0,0.0,0.0,0.0,0.0,0.0
27,10,26,3,19393,1404,1042302,1410702,1130,1130.0,0.0,1200,1207.0,7.0,150.0,157.0,872.0,0.0,0.0,0.0,0.0,0.0
28,12,5,1,19805,1083,1042302,1410702,1501,1455.0,-6.0,1636,1622.0,-14.0,155.0,147.0,872.0,0.0,0.0,0.0,0.0,0.0
