,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon
0,2022-01-01T00:00:00,23.4,23.4,20.7,84.82,0.0,0,,,,37.1,24.1,180.0,1003.3,100,16.0,0.0,,0,,Overcast,cloudy
1,2022-01-01T01:00:00,23.4,23.4,20.0,81.23,0.0,0,,,,42.5,27.7,180.0,1002.8,100,16.0,0.0,,0,,Overcast,cloudy
2,2022-01-01T02:00:00,22.9,22.9,20.0,83.72,0.0,0,,,,,18.4,180.0,1003.1,100,16.0,0.0,,0,,Overcast,cloudy
3,2022-01-01T03:00:00,22.9,22.9,20.0,83.72,0.0,0,,,,,16.6,180.0,1002.9,100,16.0,0.0,,0,,Overcast,cloudy
4,2022-01-01T04:00:00,22.9,22.9,19.4,80.66,0.0,0,,,,40.7,22.3,180.0,1002.1,100,16.0,0.0,,0,,Overcast,cloudy
5,2022-01-01T05:00:00,22.3,22.3,19.4,83.66,0.0,0,,,,,14.8,160.0,1002.0,100,16.0,0.0,,0,,Overcast,cloudy
6,2022-01-01T06:00:00,22.3,22.3,19.4,83.66,0.0,0,,,,,7.6,160.0,1002.6,100,16.0,0.0,,0,,Overcast,cloudy
7,2022-01-01T07:00:00,21.2,21.2,20.0,92.87,0.0,0,,,,,7.6,170.0,1003.1,100,10.0,17.5,0.1,0,,Overcast,cloudy
8,2022-01-01T08:00:00,21.2,21.2,20.0,92.87,0.0,0,,,,,9.4,190.0,1003.6,100,11.0,166.8,0.6,2,,Overcast,cloudy
9,2022-01-01T09:00:00,22.3,22.3,20.0,86.83,0.0,0,,,,,11.2,200.0,1004.1,100,11.0,334.6,1.2,3,,Overcast,cloudy
10,2022-01-01T10:00:00,23.4,23.4,20.0,81.23,0.0,0,,,,29.5,20.5,200.0,1004.7,100,13.0,449.0,1.6,4,,Overcast,cloudy
11,2022-01-01T11:00:00,23.9,23.9,20.0,78.82,0.0,0,,,,29.5,22.3,210.0,1005.0,100,13.0,454.3,1.6,5,,Overcast,cloudy
12,2022-01-01T12:00:00,24.4,24.4,19.4,73.69,0.0,0,,,,,14.8,210.0,1004.6,100,13.0,343.9,1.2,3,,Overcast,cloudy
13,2022-01-01T13:00:00,25.0,25.0,18.4,66.79,0.0,0,,,,,14.8,230.0,1004.0,100,14.0,259.5,0.9,3,,Overcast,cloudy
14,2022-01-01T14:00:00,25.7,25.7,17.9,62.09,0.0,0,,,,,5.4,260.0,1003.8,100,16.0,232.3,0.8,2,,Overcast,cloudy
15,2022-01-01T15:00:00,24.4,24.4,12.9,48.68,0.0,0,,,,,16.6,340.0,1004.0,88,16.0,205.1,0.7,2,,Partially cloudy,partly-cloudy-day
16,2022-01-01T16:00:00,25.0,25.0,12.3,45.15,0.0,0,,,,,11.2,10.0,1003.8,88,16.0,128.6,0.5,1,,Partially cloudy,partly-cloudy-day
17,2022-01-01T17:00:00,24.4,24.4,12.3,46.8,0.0,0,,,,,9.4,70.0,1004.0,88,16.0,17.1,0.1,0,,Partially cloudy,partly-cloudy-day
18,2022-01-01T18:00:00,21.2,21.2,11.2,52.84,0.0,0,,,,,7.6,80.0,1004.6,50,16.0,0.0,,0,,Partially cloudy,partly-cloudy-night
19,2022-01-01T19:00:00,18.9,18.9,11.2,60.93,0.0,0,,,,,9.4,90.0,1005.2,50,16.0,0.0,,0,,Partially cloudy,partly-cloudy-night
20,2022-01-01T20:00:00,15.7,15.7,11.8,77.61,0.0,0,,,,,0.0,0.0,1006.4,50,16.0,0.0,,0,,Partially cloudy,partly-cloudy-night
